PRS	WMH_measure	cluster	lm_beta	lm_pval	pval_fdr	pval_nsig_05	pval_fdr_nsig_05
alzheimer_s_disease	WMHvol	c1	-0.163071548643614	0.153082024880476	0.905627643457883	FALSE	FALSE
alzheimer_s_disease	WMHvol	c2	-0.175514987941372	0.123269475517506	0.905627643457883	FALSE	FALSE
alzheimer_s_disease	WMHvol	c3	-0.226499843032806	0.0473762418640003	0.843344376821738	TRUE	FALSE
alzheimer_s_disease	stage	c1	0.0595572371315267	0.601255567693813	0.972735851189002	FALSE	FALSE
alzheimer_s_disease	stage	c2	-0.142831434880604	0.210833817478866	0.956823657844267	FALSE	FALSE
alzheimer_s_disease	stage	c3	-0.190218624191501	0.0958361602639656	0.86252544237569	FALSE	FALSE
alzheimer_s_disease	FA	c1	0.0678139971199684	0.547118633925141	0.972735851189002	FALSE	FALSE
alzheimer_s_disease	FA	c2	-0.117714736937839	0.302503151036537	0.972735851189002	FALSE	FALSE
alzheimer_s_disease	FA	c3	-0.154713399821858	0.175592454824223	0.905627643457883	FALSE	FALSE
alzheimer_s_disease	MD	c1	0.137075305258116	0.228708950477253	0.956823657844267	FALSE	FALSE
alzheimer_s_disease	MD	c2	-0.126210547497166	0.269056690291802	0.956823657844267	FALSE	FALSE
alzheimer_s_disease	MD	c3	-0.197821473318854	0.083293271784863	0.843344376821738	FALSE	FALSE
alzheimer_s_disease	ICVF	c1	-0.107837573511633	0.345073895655416	0.972735851189002	FALSE	FALSE
alzheimer_s_disease	ICVF	c2	-0.161467905621332	0.157309685810197	0.905627643457883	FALSE	FALSE
alzheimer_s_disease	ICVF	c3	-0.197943061214663	0.0830680992479655	0.843344376821738	FALSE	FALSE
alzheimer_s_disease	ISOVF	c1	0.209122296664668	0.0663688462324578	0.843344376821738	FALSE	FALSE
alzheimer_s_disease	ISOVF	c2	0.011307982260368	0.92111530150105	0.972735851189002	FALSE	FALSE
alzheimer_s_disease	ISOVF	c3	-0.0851628187745702	0.455926837859833	0.972735851189002	FALSE	FALSE
alzheimer_s_disease	OD	c1	-0.0862692501010249	0.449356442433966	0.972735851189002	FALSE	FALSE
alzheimer_s_disease	OD	c2	-0.0210985452730016	0.853370730254429	0.972735851189002	FALSE	FALSE
alzheimer_s_disease	OD	c3	-0.124726403860909	0.274867587704681	0.956823657844267	FALSE	FALSE
alzheimer_s_disease	T2star	c1	-0.170355213068001	0.135838219265545	0.905627643457883	FALSE	FALSE
alzheimer_s_disease	T2star	c2	-0.216063666016703	0.05842864157159	0.843344376821738	FALSE	FALSE
alzheimer_s_disease	T2star	c3	-0.122416486593943	0.283503306027931	0.956823657844267	FALSE	FALSE
alzheimer_s_disease	QSM	c1	-0.0191677778370981	0.866743784856122	0.972735851189002	FALSE	FALSE
alzheimer_s_disease	QSM	c2	-0.109742853420242	0.33670024319612	0.972735851189002	FALSE	FALSE
alzheimer_s_disease	QSM	c3	-0.0821033454600207	0.472275280168245	0.972735851189002	FALSE	FALSE
cardiovascular_disease	WMHvol	c1	-0.045665522367829	0.688763988129536	0.972735851189002	FALSE	FALSE
cardiovascular_disease	WMHvol	c2	-0.0060333932845525	0.957722400693657	0.981968537420079	FALSE	FALSE
cardiovascular_disease	WMHvol	c3	-0.074256468319839	0.515186069198403	0.972735851189002	FALSE	FALSE
cardiovascular_disease	stage	c1	-0.00774273368084865	0.945743099072572	0.981968537420079	FALSE	FALSE
cardiovascular_disease	stage	c2	-0.211925510575371	0.0631805606557437	0.843344376821738	FALSE	FALSE
cardiovascular_disease	stage	c3	-0.0497042857386525	0.66310754160099	0.972735851189002	FALSE	FALSE
cardiovascular_disease	FA	c1	0.0106117764454175	0.924699512858681	0.972735851189002	FALSE	FALSE
cardiovascular_disease	FA	c2	-0.164045035223911	0.1503905272548	0.905627643457883	FALSE	FALSE
cardiovascular_disease	FA	c3	-0.0402482674735546	0.724276723508855	0.972735851189002	FALSE	FALSE
cardiovascular_disease	MD	c1	0.0207344663567842	0.855301837009463	0.972735851189002	FALSE	FALSE
cardiovascular_disease	MD	c2	-0.229445050350568	0.0443487832093436	0.843344376821738	TRUE	FALSE
cardiovascular_disease	MD	c3	-0.0329479963097516	0.772765272731787	0.972735851189002	FALSE	FALSE
cardiovascular_disease	ICVF	c1	-0.0145774628848241	0.898322075199095	0.972735851189002	FALSE	FALSE
cardiovascular_disease	ICVF	c2	-0.207529090639999	0.068935451595317	0.843344376821738	FALSE	FALSE
cardiovascular_disease	ICVF	c3	-0.0162598291406097	0.886678015625855	0.972735851189002	FALSE	FALSE
cardiovascular_disease	ISOVF	c1	0.0318924474874532	0.779287996703454	0.972735851189002	FALSE	FALSE
cardiovascular_disease	ISOVF	c2	-0.0854202303313579	0.454017997016611	0.972735851189002	FALSE	FALSE
cardiovascular_disease	ISOVF	c3	-0.014119775196351	0.901516135685142	0.972735851189002	FALSE	FALSE
cardiovascular_disease	OD	c1	-0.0801649554526739	0.481887099868911	0.972735851189002	FALSE	FALSE
cardiovascular_disease	OD	c2	-0.153410697646154	0.178889411053409	0.905627643457883	FALSE	FALSE
cardiovascular_disease	OD	c3	-0.0427217258955619	0.708188869075383	0.972735851189002	FALSE	FALSE
cardiovascular_disease	T2star	c1	-0.0357373021035503	0.754214440332059	0.972735851189002	FALSE	FALSE
cardiovascular_disease	T2star	c2	-0.130451038892773	0.253084878313633	0.956823657844267	FALSE	FALSE
cardiovascular_disease	T2star	c3	-0.023937002454966	0.833802424056249	0.972735851189002	FALSE	FALSE
cardiovascular_disease	QSM	c1	0.0435592678917559	0.702754120299021	0.972735851189002	FALSE	FALSE
cardiovascular_disease	QSM	c2	0.0955185433558116	0.402706325763926	0.972735851189002	FALSE	FALSE
cardiovascular_disease	QSM	c3	-0.0305269954110738	0.789089558215673	0.972735851189002	FALSE	FALSE
ischaemic_stroke	WMHvol	c1	-0.0288956756847016	0.79874413852315	0.972735851189002	FALSE	FALSE
ischaemic_stroke	WMHvol	c2	0.0237402627425049	0.833932306998501	0.972735851189002	FALSE	FALSE
ischaemic_stroke	WMHvol	c3	-0.0200512644974206	0.859712849346739	0.972735851189002	FALSE	FALSE
ischaemic_stroke	stage	c1	-0.0785204797389892	0.488057204782357	0.972735851189002	FALSE	FALSE
ischaemic_stroke	stage	c2	-0.0494382859741385	0.663002459516599	0.972735851189002	FALSE	FALSE
ischaemic_stroke	stage	c3	-0.0201338638086482	0.859232095392434	0.972735851189002	FALSE	FALSE
ischaemic_stroke	FA	c1	-0.0837347217696292	0.454360803445004	0.972735851189002	FALSE	FALSE
ischaemic_stroke	FA	c2	-0.0451076664955759	0.69090207107576	0.972735851189002	FALSE	FALSE
ischaemic_stroke	FA	c3	-0.026225199957414	0.817337172452088	0.972735851189002	FALSE	FALSE
ischaemic_stroke	MD	c1	-0.0970605036849848	0.391282101805933	0.972735851189002	FALSE	FALSE
ischaemic_stroke	MD	c2	-0.0694198693911805	0.540766977291167	0.972735851189002	FALSE	FALSE
ischaemic_stroke	MD	c3	-0.047886696546246	0.673179150289425	0.972735851189002	FALSE	FALSE
ischaemic_stroke	ICVF	c1	0.0466520575853584	0.68110995135974	0.972735851189002	FALSE	FALSE
ischaemic_stroke	ICVF	c2	-0.00373288498995938	0.9737683652325	0.985940469797906	FALSE	FALSE
ischaemic_stroke	ICVF	c3	0.00076379343285493	0.994631296508564	0.994631296508564	FALSE	FALSE
ischaemic_stroke	ISOVF	c1	-0.0899382354088472	0.427472894522018	0.972735851189002	FALSE	FALSE
ischaemic_stroke	ISOVF	c2	-0.0682709656673635	0.547743460058614	0.972735851189002	FALSE	FALSE
ischaemic_stroke	ISOVF	c3	-0.129685036534594	0.253553139227868	0.956823657844267	FALSE	FALSE
ischaemic_stroke	OD	c1	-0.0456411322951414	0.687580229254342	0.972735851189002	FALSE	FALSE
ischaemic_stroke	OD	c2	-0.034564930961842	0.760921613371341	0.972735851189002	FALSE	FALSE
ischaemic_stroke	OD	c3	0.085219293757493	0.453168924726311	0.972735851189002	FALSE	FALSE
ischaemic_stroke	T2star	c1	0.0284593262655451	0.802197757395363	0.972735851189002	FALSE	FALSE
ischaemic_stroke	T2star	c2	-0.0503017436532348	0.657798653712251	0.972735851189002	FALSE	FALSE
ischaemic_stroke	T2star	c3	0.0897038896186601	0.429174121881882	0.972735851189002	FALSE	FALSE
ischaemic_stroke	QSM	c1	-0.0957809680774432	0.399184255912861	0.972735851189002	FALSE	FALSE
ischaemic_stroke	QSM	c2	0.137079712585898	0.227539308294307	0.956823657844267	FALSE	FALSE
ischaemic_stroke	QSM	c3	0.0727643880901242	0.521903646657701	0.972735851189002	FALSE	FALSE
