wmh_var	clust	categ	n_dx	n_hc	beta	pval	pval_fdr	pval_nsig_05	pval_fdr_nsig_05
T2star	c2	stroke	645	10629	0.0708449702941638	0.389608201741339	0.923618249562343	FALSE	FALSE
T2star	c3	stroke	645	10629	0.0568754556380571	0.478482079832771	0.923618249562343	FALSE	FALSE
QSM	c1	stroke	645	10629	-0.0739687577758568	0.374902876109096	0.923618249562343	FALSE	FALSE
QSM	c2	stroke	645	10629	0.0189219673711506	0.819997340798879	0.973049392649649	FALSE	FALSE
QSM	c3	stroke	645	10629	-0.00533226044813292	0.949023481720029	0.973049392649649	FALSE	FALSE
WMHvol	c1	dementia_no_vasc	47	10629	0.154797622880112	0.571570366120191	0.971971330450653	FALSE	FALSE
WMHvol	c2	dementia_no_vasc	47	10629	0.173125120800039	0.510258777030122	0.961185138126508	FALSE	FALSE
WMHvol	c3	dementia_no_vasc	47	10629	0.0845572210750598	0.767944657692204	0.973049392649649	FALSE	FALSE
stage	c1	dementia_no_vasc	47	10629	0.317797150831672	0.301830529419542	0.923618249562343	FALSE	FALSE
stage	c2	dementia_no_vasc	47	10629	0.231038773267404	0.453986907935612	0.923618249562343	FALSE	FALSE
stage	c3	dementia_no_vasc	47	10629	0.0733859176440533	0.807194147940567	0.973049392649649	FALSE	FALSE
FA	c1	dementia_no_vasc	47	10629	-0.0828345358671673	0.788002921024917	0.973049392649649	FALSE	FALSE
FA	c2	dementia_no_vasc	47	10629	0.147903062324866	0.63544129094702	0.971971330450653	FALSE	FALSE
FA	c3	dementia_no_vasc	47	10629	-0.0288805138367716	0.923821710101877	0.973049392649649	FALSE	FALSE
MD	c1	dementia_no_vasc	47	10629	0.43932291866609	0.157287062776786	0.796265755307479	FALSE	FALSE
MD	c2	dementia_no_vasc	47	10629	0.23635623898856	0.44070661465006	0.923618249562343	FALSE	FALSE
MD	c3	dementia_no_vasc	47	10629	0.104816924447578	0.727431762350726	0.973049392649649	FALSE	FALSE
ICVF	c1	dementia_no_vasc	47	10629	0.180041502204323	0.54984837883983	0.971971330450653	FALSE	FALSE
ICVF	c2	dementia_no_vasc	47	10629	0.281617252835831	0.364652129005124	0.923618249562343	FALSE	FALSE
ICVF	c3	dementia_no_vasc	47	10629	-0.0143103153785676	0.962122968098105	0.974149505199332	FALSE	FALSE
ISOVF	c1	dementia_no_vasc	47	10629	0.399558267886336	0.199444641428978	0.836820353121909	FALSE	FALSE
ISOVF	c2	dementia_no_vasc	47	10629	-0.151674441611598	0.624621760659236	0.971971330450653	FALSE	FALSE
ISOVF	c3	dementia_no_vasc	47	10629	0.0760067191635146	0.802843509187215	0.973049392649649	FALSE	FALSE
OD	c1	dementia_no_vasc	47	10629	0.411169098014687	0.174119774275193	0.829629512722979	FALSE	FALSE
OD	c2	dementia_no_vasc	47	10629	0.286851631231658	0.354204676728767	0.923618249562343	FALSE	FALSE
OD	c3	dementia_no_vasc	47	10629	0.500992332273594	0.105940785177375	0.714738419424619	FALSE	FALSE
T2star	c1	dementia_no_vasc	47	10629	-0.125789708186995	0.682014378398011	0.973049392649649	FALSE	FALSE
T2star	c2	dementia_no_vasc	47	10629	0.0560691409484632	0.856241613534677	0.973049392649649	FALSE	FALSE
T2star	c3	dementia_no_vasc	47	10629	-0.181010538293589	0.549615719593533	0.971971330450653	FALSE	FALSE
QSM	c1	dementia_no_vasc	47	10629	0.184263371681631	0.556547475812156	0.971971330450653	FALSE	FALSE
QSM	c2	dementia_no_vasc	47	10629	-0.113699484549033	0.716644931347331	0.973049392649649	FALSE	FALSE
QSM	c3	dementia_no_vasc	47	10629	-0.308528652492797	0.325018080341484	0.923618249562343	FALSE	FALSE
