wmh_var	clust	categ	n_dx	n_hc	beta_groupHC	pval_groupHC	pval_fdr	pval_nsig_05	pval_fdr_nsig_05
OD	c1	stroke	526	8528	0.207177507480349	2.230229467593e-06	4.51621467187582e-06	TRUE	TRUE
OD	c2	stroke	526	8528	0.117387446327545	0.00919495983056156	0.0148958349255097	TRUE	TRUE
OD	c3	stroke	526	8528	0.336493014088086	6.98811626449178e-14	2.57289735192652e-13	TRUE	TRUE
T2star	c1	stroke	526	8528	0.086542729986582	0.0522373432748897	0.0717156746655265	FALSE	FALSE
T2star	c2	stroke	526	8528	0.111315060660374	0.0132850315877729	0.0203035388416906	TRUE	TRUE
T2star	c3	stroke	526	8528	0.286857491269145	6.12103797710858e-11	1.83631139313257e-10	TRUE	TRUE
QSM	c1	stroke	526	8528	0.260181782755191	1.14675966317402e-08	2.5104738572188e-08	TRUE	TRUE
QSM	c2	stroke	526	8528	0.375323548861061	1.57392998465258e-16	6.70991203983468e-16	TRUE	TRUE
QSM	c3	stroke	526	8528	0.234529687437755	2.67391941490992e-07	5.69967033178168e-07	TRUE	TRUE
WMHvol	c1	dementia_no_vasc	31	8528	0.233329008525629	0.136950505712221	0.170661399425999	FALSE	FALSE
WMHvol	c2	dementia_no_vasc	31	8528	0.368117577350904	0.0144034817927774	0.0216052226891661	TRUE	TRUE
WMHvol	c3	dementia_no_vasc	31	8528	0.331648021082012	0.0437199394725903	0.061057156849652	TRUE	FALSE
stage	c1	dementia_no_vasc	31	8528	0.586070951629057	0.000919339095467189	0.00158439290920941	TRUE	TRUE
stage	c2	dementia_no_vasc	31	8528	0.314102551519152	0.0765227052806636	0.0999732117376411	FALSE	FALSE
stage	c3	dementia_no_vasc	31	8528	0.028052277374333	0.870925787484761	0.916168685535918	FALSE	FALSE
FA	c1	dementia_no_vasc	31	8528	0.26748112987046	0.131577354568887	0.166527589376247	FALSE	FALSE
FA	c2	dementia_no_vasc	31	8528	-0.119886310886136	0.503811967527196	0.57477139957328	FALSE	FALSE
FA	c3	dementia_no_vasc	31	8528	-0.0593006613847475	0.732525255381633	0.80181818494476	FALSE	FALSE
MD	c1	dementia_no_vasc	31	8528	0.634363260478991	0.000382066339358037	0.000672768988869587	TRUE	TRUE
