-2.435351112470230510e+04,-2.435351112470230510e+04,-2.435351112470230510e+04
-2.433569655506458002e+04,-2.433569655506458002e+04,-2.433569655506458002e+04
-2.429764884561635699e+04,-2.429764884561635699e+04,-2.429764884561634244e+04
-2.431407669753156006e+04,-2.431407669753156006e+04,-2.431407669753156006e+04
-2.427524662745966634e+04,-2.427524662745966634e+04,-2.427524662745966634e+04
-2.431062742527516821e+04,-2.431062742527516821e+04,-2.431062742527516821e+04
-2.438952881383230488e+04,-2.438952881383230488e+04,-2.438952881383230488e+04
-2.426488652810663552e+04,-2.426488652810663552e+04,-2.426488652810663552e+04
-2.435120370522682424e+04,-2.435120370522682424e+04,-2.435120370522682424e+04
-2.429734088132334000e+04,-2.429734088132334000e+04,-2.429734088132334000e+04
