wmh_var	clust	categ	n_dx	n_hc	beta_groupHC	pval_groupHC	pval_fdr	pval_nsig_05	pval_fdr_nsig_05
QSM	c1	stroke	526	8528	0.198812459636103	1.29487444040066e-05	2.45344630812757e-05	TRUE	TRUE
QSM	c2	stroke	526	8528	0.332746338221149	2.71095562070881e-13	1.02730949837386e-12	TRUE	TRUE
QSM	c3	stroke	526	8528	0.435430286003636	7.50274692739545e-22	5.40197778772473e-21	TRUE	TRUE
WMHvol	c1	dementia_no_vasc	31	8528	0.286941424123354	0.0569417167273428	0.0773547849880883	FALSE	FALSE
WMHvol	c2	dementia_no_vasc	31	8528	0.370171967130065	0.0128756851970487	0.0197244539188832	TRUE	TRUE
WMHvol	c3	dementia_no_vasc	31	8528	0.326096375738788	0.0464250823585941	0.0642808832657456	TRUE	FALSE
FA	c1	dementia_no_vasc	31	8528	0.303794674305818	0.0899231077144786	0.113587083428815	FALSE	FALSE
FA	c2	dementia_no_vasc	31	8528	-0.0825214785798003	0.644159643505047	0.702719611096415	FALSE	FALSE
FA	c3	dementia_no_vasc	31	8528	-0.165796602336209	0.339241180812419	0.393957500298293	FALSE	FALSE
MD	c1	dementia_no_vasc	31	8528	0.626761482745536	0.000458874022318309	0.000825973240172956	TRUE	TRUE
MD	c2	dementia_no_vasc	31	8528	0.424650843081042	0.0153453486347598	0.0230180229521397	TRUE	TRUE
MD	c3	dementia_no_vasc	31	8528	0.057299701702759	0.739808950595613	0.79501857377439	FALSE	FALSE
ICVF	c1	dementia_no_vasc	31	8528	0.309061145948432	0.0760320168681621	0.0977554502590655	FALSE	FALSE
ICVF	c2	dementia_no_vasc	31	8528	0.176993561113205	0.317932903787022	0.375265066765009	FALSE	FALSE
ICVF	c3	dementia_no_vasc	31	8528	0.0842849397948735	0.625952421786554	0.693362682594337	FALSE	FALSE
ISOVF	c1	dementia_no_vasc	31	8528	0.538256391852696	0.00275540430410913	0.00472355023561565	TRUE	TRUE
ISOVF	c2	dementia_no_vasc	31	8528	0.461550507872248	0.00943864654393399	0.0147735337209402	TRUE	TRUE
ISOVF	c3	dementia_no_vasc	31	8528	-0.186129566416245	0.287436008239242	0.34492320988709	FALSE	FALSE
OD	c1	dementia_no_vasc	31	8528	0.0349037638760946	0.84195625544563	0.866012148458362	FALSE	FALSE
OD	c2	dementia_no_vasc	31	8528	0.384840052483716	0.0302108572547183	0.0443914637212188	TRUE	TRUE
OD	c3	dementia_no_vasc	31	8528	0.508417199850553	0.00421422158957737	0.00689599896476296	TRUE	TRUE
T2star	c1	dementia_no_vasc	31	8528	0.0238444208784144	0.892977412111916	0.90555455876138	FALSE	FALSE
T2star	c2	dementia_no_vasc	31	8528	0.0427844980022508	0.808757933967727	0.856331930083475	FALSE	FALSE
T2star	c3	dementia_no_vasc	31	8528	-0.0386692193184848	0.82373173574098	0.859546159034066	FALSE	FALSE
QSM	c1	dementia_no_vasc	31	8528	0.10937961545923	0.543584017990158	0.621238877703038	FALSE	FALSE
QSM	c2	dementia_no_vasc	31	8528	0.0959183383080689	0.594513010577829	0.668827136900058	FALSE	FALSE
QSM	c3	dementia_no_vasc	31	8528	0.204494111506533	0.255152476458312	0.311372513644041	FALSE	FALSE
