-2.700630995775852352e+04,-2.700662263571316726e+04,-2.700491598486282237e+04
-2.705048605161031446e+04,-2.705467162454977006e+04,-2.705442474464216139e+04
-2.690852943196148772e+04,-2.690730667439271929e+04,-2.690840394343929802e+04
-2.692476284083642895e+04,-2.692298958191149359e+04,-2.692466606174998378e+04
-2.734071824919360733e+04,-2.734490061440192585e+04,-2.734451100085317375e+04
-2.700488714901258209e+04,-2.700602816415873895e+04,-2.700511381546938355e+04
-2.725644954055860217e+04,-2.725519045749122961e+04,-2.725430415801966956e+04
-2.698193646430881563e+04,-2.698280939102625780e+04,-2.698281798078042993e+04
-2.706342982681025751e+04,-2.706476408898270165e+04,-2.706379544984849781e+04
-2.716177652914121791e+04,-2.716255531890792918e+04,-2.716149512325794058e+04
