PRS	WMH_measure	cluster	lm_beta	lm_pval	pval_fdr	pval_nsig_05	pval_fdr_nsig_05
alzheimer_s_disease	WMHvol	c1	0.0380190865513724	0.50272850144834	0.583813743617427	FALSE	FALSE
alzheimer_s_disease	WMHvol	c2	0.073881679789173	0.192774208195044	0.295313680639216	FALSE	FALSE
alzheimer_s_disease	WMHvol	c3	-0.0230112697941122	0.685005436627956	0.758775252880198	FALSE	FALSE
alzheimer_s_disease	FA	c1	0.0384782382708221	0.497583465299892	0.583813743617427	FALSE	FALSE
alzheimer_s_disease	FA	c2	0.0670736403864153	0.237048729659038	0.355573094488557	FALSE	FALSE
alzheimer_s_disease	FA	c3	-0.0420834540764586	0.458177668322957	0.565014450408082	FALSE	FALSE
alzheimer_s_disease	MD	c1	0.0558333426073433	0.324996752340485	0.449995503240672	FALSE	FALSE
alzheimer_s_disease	MD	c2	0.149996366255195	0.00818326477996191	0.0218220394132318	TRUE	TRUE
alzheimer_s_disease	MD	c3	-0.0510073101122211	0.368564754259238	0.500691741635191	FALSE	FALSE
alzheimer_s_disease	ICVF	c1	0.110259204743135	0.0519248352535676	0.101042922655591	FALSE	FALSE
alzheimer_s_disease	ICVF	c2	0.169016768738234	0.00288410928961453	0.00830623475408985	TRUE	TRUE
alzheimer_s_disease	ICVF	c3	-0.061052311818061	0.281817348856304	0.414098961584773	FALSE	FALSE
alzheimer_s_disease	ISOVF	c1	0.00172409613818888	0.975754215137642	0.986730086232782	FALSE	FALSE
alzheimer_s_disease	ISOVF	c2	0.137697514534401	0.0152013963752419	0.0364833513005806	TRUE	TRUE
alzheimer_s_disease	ISOVF	c3	-0.0416335171277573	0.462997952417734	0.565014450408082	FALSE	FALSE
alzheimer_s_disease	OD	c1	0.0103784093954702	0.854837196073096	0.905121737018572	FALSE	FALSE
alzheimer_s_disease	OD	c2	0.184812127243809	0.00112045136232532	0.00336135408697596	TRUE	TRUE
alzheimer_s_disease	OD	c3	-0.0445410883536915	0.43235090205791	0.565014450408082	FALSE	FALSE
alzheimer_s_disease	T2star	c1	0.0917475373808923	0.105795071072098	0.181362978980739	FALSE	FALSE
alzheimer_s_disease	T2star	c2	0.212770606275831	0.000175762000889421	0.000898660016757461	TRUE	TRUE
alzheimer_s_disease	T2star	c3	-0.003332839785944	0.953150356261618	0.980383223583378	FALSE	FALSE
alzheimer_s_disease	QSM	c1	0.038780884638684	0.494207544467802	0.583813743617427	FALSE	FALSE
alzheimer_s_disease	QSM	c2	-0.0136667952484453	0.80961893556875	0.879874178899172	FALSE	FALSE
alzheimer_s_disease	QSM	c3	-0.000943509993931501	0.986730086232782	0.986730086232782	FALSE	FALSE
cardiovascular_disease	WMHvol	c1	0.15580093949344	0.00601852109167603	0.0166666737923336	TRUE	TRUE
cardiovascular_disease	WMHvol	c2	0.14002318249073	0.0135660460925585	0.0336812178849728	TRUE	TRUE
cardiovascular_disease	WMHvol	c3	0.185317282514289	0.00108577704799522	0.00336135408697596	TRUE	TRUE
cardiovascular_disease	FA	c1	0.189422056246679	0.000838696505189428	0.00274482492607449	TRUE	TRUE
cardiovascular_disease	FA	c2	0.135652943073042	0.016779967487981	0.0385374859250445	TRUE	TRUE
cardiovascular_disease	FA	c3	0.210776354239293	0.000202123166665523	0.000909554249994854	TRUE	TRUE
cardiovascular_disease	MD	c1	0.114946734564209	0.0427235018174367	0.0854470036348734	TRUE	FALSE
cardiovascular_disease	MD	c2	0.135225303266249	0.017127771522242	0.0385374859250445	TRUE	TRUE
cardiovascular_disease	MD	c3	0.211871384968997	0.000187220836824471	0.000898660016757461	TRUE	TRUE
cardiovascular_disease	ICVF	c1	0.206254636295096	0.000276271889234577	0.00117009270734644	TRUE	TRUE
cardiovascular_disease	ICVF	c2	0.115267417516036	0.0421478776420773	0.0854470036348734	TRUE	FALSE
cardiovascular_disease	ICVF	c3	0.189654538783458	0.000826399005884705	0.00274482492607449	TRUE	TRUE
cardiovascular_disease	ISOVF	c1	0.0421688739097873	0.457265734469985	0.565014450408082	FALSE	FALSE
cardiovascular_disease	ISOVF	c2	0.132975429843903	0.0190637282393509	0.0415935888858565	TRUE	TRUE
cardiovascular_disease	ISOVF	c3	0.235217723324305	3.36112269704345e-05	0.000201667361822607	FALSE	TRUE
cardiovascular_disease	OD	c1	0.0558726202836139	0.324656499628869	0.449995503240672	FALSE	FALSE
cardiovascular_disease	OD	c2	0.0573549306167233	0.311985191500458	0.44925867576066	FALSE	FALSE
cardiovascular_disease	OD	c3	0.0769690480008993	0.174830644810945	0.273647965791044	FALSE	FALSE
cardiovascular_disease	T2star	c1	0.0872693508135696	0.12394222553357	0.198307560853712	FALSE	FALSE
cardiovascular_disease	T2star	c2	0.043338573640826	0.444881145793694	0.565014450408082	FALSE	FALSE
cardiovascular_disease	T2star	c3	0.0970493693715574	0.087107327008314	0.152968964502405	FALSE	FALSE
cardiovascular_disease	QSM	c1	-0.0281018448755172	0.620332255980179	0.697873787977701	FALSE	FALSE
cardiovascular_disease	QSM	c2	-0.00496019767751983	0.930323305214675	0.970772144571835	FALSE	FALSE
cardiovascular_disease	QSM	c3	0.0349285302195117	0.53807825255671	0.614946574350526	FALSE	FALSE
ischaemic_stroke	WMHvol	c1	0.283547743871442	5.72414823225987e-07	6.93940826379678e-06	FALSE	TRUE
ischaemic_stroke	WMHvol	c2	0.326943445657802	8.10265753759567e-09	1.45847835676722e-07	FALSE	TRUE
ischaemic_stroke	WMHvol	c3	0.390890787909932	5.36090975325157e-12	3.85985502234113e-10	FALSE	TRUE
ischaemic_stroke	FA	c1	0.190274213099935	0.000794432772475553	0.00274482492607449	TRUE	TRUE
ischaemic_stroke	FA	c2	0.356143919105045	3.34411553615647e-10	1.20388159301633e-08	FALSE	TRUE
ischaemic_stroke	FA	c3	0.268412016645331	2.21014821098246e-06	1.98913338988421e-05	FALSE	TRUE
ischaemic_stroke	MD	c1	0.089919311279706	0.112931370790444	0.184796788566181	FALSE	FALSE
ischaemic_stroke	MD	c2	0.337517657112118	2.63258335938329e-09	6.3182000625199e-08	FALSE	TRUE
ischaemic_stroke	MD	c3	0.281334628363209	7.00441149673382e-07	7.20453753949764e-06	FALSE	TRUE
ischaemic_stroke	ICVF	c1	0.245970481105596	1.44298391429967e-05	9.44498562087057e-05	FALSE	TRUE
ischaemic_stroke	ICVF	c2	0.266713961193035	2.56078807321404e-06	2.04863045857123e-05	FALSE	TRUE
ischaemic_stroke	ICVF	c3	0.283436282204492	5.78284021983065e-07	6.93940826379678e-06	FALSE	TRUE
ischaemic_stroke	ISOVF	c1	-0.0439733518714558	0.438241097364595	0.565014450408082	FALSE	FALSE
ischaemic_stroke	ISOVF	c2	0.203854994355956	0.000325311294292716	0.00130124517717086	TRUE	TRUE
ischaemic_stroke	ISOVF	c3	0.195818921790589	0.00055537286555769	0.00210457085895546	TRUE	TRUE
ischaemic_stroke	OD	c1	0.0907497634888136	0.109644114716235	0.18359014557137	FALSE	FALSE
ischaemic_stroke	OD	c2	-0.0129978184428095	0.818771805364507	0.879874178899172	FALSE	FALSE
ischaemic_stroke	OD	c3	0.108711328697082	0.0553058327624642	0.104789998918353	FALSE	FALSE
ischaemic_stroke	T2star	c1	0.0991634243676826	0.0804415834221405	0.14850753862549	FALSE	FALSE
ischaemic_stroke	T2star	c2	0.218382863187347	0.000117865229882136	0.000652792042424138	TRUE	TRUE
ischaemic_stroke	T2star	c3	0.257609963733234	5.55686178643337e-06	4.00094048623203e-05	FALSE	TRUE
ischaemic_stroke	QSM	c1	0.0981792784391463	0.0834912379480473	0.150284228306485	FALSE	FALSE
ischaemic_stroke	QSM	c2	0.143814606614171	0.0112316519040367	0.0288813906103801	TRUE	TRUE
ischaemic_stroke	QSM	c3	0.117643294417127	0.0380842238957033	0.0806489447203129	TRUE	FALSE
