"K","evals"
1,1.00000000000005
2,0.996515846872824
3,0.986035940212233
4,0.977351433214299
5,0.965795627014613
6,0.958900248761769
7,0.957774163545377
8,0.950295979825828
9,0.944811653432993
10,0.94241805936428
11,0.941693958443332
